"dataset";"dataset.name";"public?";"coauthor.1";"coauthor.2";"agreement.sent";"agreement.received";"remarks";"dataset.identified.from";"Included.final.analysis";"reason";"system";"taxa";"group";"old_classification";"disturbance";"description";"source";"start_year";"end_year";"original_year";"Measurement";"reference";"Remark_MG";"obs";"obs2"
"41";"ai04";"gallardo_waterinsects";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"CESTES database";"YES";NA;"aquatic";"waterinsect";"invertebrate";"agriculture";"multiple";"The  Ebro  is  the  largest  river  in  Spain  with  a  water-shed  area  of  85,362  km2,  a  length  of  910  km  and  an  average   annual   discharge   of   18,138   hm3   (CEDEX   1997).   In the last century, regulation  of  the  river  to  control  flooding  and  water  abstraction  has  reduced  the  number  and  extent  of  permanent  water  bodies  within  the  floodplain.  Most  of  the  floodplain  area  is  used  for  agricultural  or  industrial  activities   (Torrecilla   2005),   and   wetlands   currently   cover  only  3.6%  of  the  total  floodplain  (Cabezas  et  al. 2008).";"Google eartch and ref.";2006;2006;NA;"abundance";"Gallardo, B., Gascon, S., García-Antón, M., & Comín, F. A. (2009). Testing the response of macroinvertebrate functional structure and biodiversity to flooding and confinement.";"you say \"very close to cities\". If ist still agricutural landscapes and not in city I would classify as \"agriculture\"";"agriculture+forest";NA
"42";"pp01";"gracoroza_phytoplankton_1";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"microorganism";"microorganism";"varying";"multiple";"Data collected in the whole brazilian coastal area. Encompassing multiple land use types";"Google earth images";2003;2004;NA;"abundance";"Unpublished";NA;NA;NA
"43";"pp02";"gracoroza_phytoplankton_2";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"microorganism";"microorganism";"varying";"multiple";"Data collected in the whole brazilian coastal area. Encompassing multiple land use types";"Google earth images";2003;2004;NA;"abundance";"Unpublished";NA;NA;NA
"44";"pp03";"gracoroza_phytoplankton_3";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"microorganism";"microorganism";"varying";"multiple";"Section from results of the paper:On a cluster-wise consideration, the high values of urban area were found mainly in the Cluster 4, grassland and forest were concentrated in the Clusters 1 and 2, while high values of agriculture areas were found in the Clusters 3 and 6.";"Google earth images and ref.";2015;2015;NA;"abundance";"Pacheco, F. S., Miranda, M., Pezzi, L. P., Assireu, A., Marinho, M. M., Malafaia, M., ... & Ometto, J. P. (2017). Water quality longitudinal profile of the Paraíba do Sul River, Brazil during an extreme drought event. Limnology and Oceanography, 62(S1), S131-S146. to flooding and confinement.";NA;NA;NA
"45";"ai02";"jeliazkov_waterinsects";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"CESTES database";"YES";NA;"aquatic";"waterinsect";"invertebrate";"agriculture";"agriculture";"We selected 150 ponds out of a total of some 300 ponds in this area on the basis of three main criteria: (1) ponds were surrounded by more than 50% of agricultural land within a radius of 200 m to remain in a context of intensive agriculture while optimising our cross-scale representativeness of all of the ponds in the area; (2) ponds were permanent to avoid major discrepancies in ecological functioning linked to the hydrological regime; and (3) to test the effect of pond density on amphibians, we chose ponds within clusters of different pond densities in which inter-pond distances did not exceed 2000 m.Site selection and characterisation of the ponds and their surrounding landscape for the three spatial levels were processed using the GIS tools, ArcView9.3® and ETGeoWizard10®.";"Google earth images";2011;2012;NA;"abundance";"Jeliazkov, A., Chiron, F., Garnier, J., Besnard, A., Silvestre, M., & Jiguet, F. (2014). Level-dependence of the relationships between amphibian biodiversity and environment in pond systems within an intensive agricultural landscape. Hydrobiologia, 723, 7-23.";"based on the information given I am unable to classify, Lets discuss";NA;NA
"46";"ta23";"lee_ants";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"Google Scholar search";"YES";NA;"terrestrial";"insect";"invertebrate";"forestry";"forest";"The authors describe their dataset as agroforestry, I am not sure if this is multiple or forestry, See their methods:During May to August 2016, a total of 12 monoculture rubber plantation (mono-rubber), 9 rubber plantation intercropped with understory shade-tolerance crop Alpinia oxyphylla for a period from 1 to 3 years (agro-rubber), 16 secondary forest and 12 old-growth secondary forest plots (400 m2 [20 m × 20 m]) were sampled in and around the reserve (Figure S1), with a minimum distance of 200 m between plots.";"Google earth images and ref.";2016;2016;NA;"presence_absence";"Lee, R. H., Wang, C. L. W., & Guénard, B. (2020). The ecological implications of rubber‐based agroforestry: Insect conservation and invasion control. Journal of Applied Ecology, 57(8), 1605-1618.";"I would clearly classify as forest land use (\"forestry\")";NA;NA
"47";"b06";"lehikoinen_birds";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"The region we cover in the analysis is the whole of Norway and Finland, and the northern two thirds of Sweden (with the southern border including the counties of Värmland, Dalarna and Gävleborg). All routes included are situated north of 58°N (Figure 1). This delimitation largely coincides with the boreal, montane and arctic regions of Fennoscandia, although the coastal areas of southernmost Norway and Finland are normally assigned to the boreo-nemoral zone (Ahti et al. 1968). The land area covered is approximately one million km2 and our study period covers the years 2002–2013.";"Google earth images and ref.";2002;2013;NA;"abundance";"Lindström, Å., Green, M., Husby, M., Kålås, J. A., & Lehikoinen, A. (2015). Large-scale monitoring of waders on their boreal and arctic breeding grounds in northern Europe. Ardea, 103(1), 3-15.";NA;NA;NA
"48";"ta37";"lowe_spiders";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"CESTES database";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"multiple";"The title mentions an urban gradient, but the methods section describe different categories for the sites: Sites were categorised into four coarse land-use types: urban parks (n = 4 parks with a total of n = 9 plots), patches of remnant vegetation (n = 7 remnant patches with a total of n = 23 plots), gardens (n = 67) and large areas of continuous bushland (n = 6 bushland sites with a total of n = 16 plots). We had a minimum of 100 m between plots within the same site, except for one instance in an urban park where the distance between plots was > 90 m. Urban parks ranged in size from 0.02 to 1.89 km2, were characterised by a high percentage of grass and managed vegetation and were surrounded by the urban matrix. Remnant vegetation sites were also surrounded by the urban matrix, ranged in size from 0.08 to 0.76 km2 and predominantly consisted of native vegetation with some areas of managed grass. Bushland sites were large (> 1.98 km2) continuous areas of native vegetation, such as a national parks and reserves. The 67 private gardens were located within Sydney metropolitan area (Fig. 1). The CESTES database (from which we got this dataset) classifies it as “Mixed”. I am more in agreement with their idea but let you decide.";"Google earth images and ref.";2013;2013;NA;"abundance";"Lowe, E. C., Threlfall, C. G., Wilder, S. M., & Hochuli, D. F. (2018). Environmental drivers of spider community composition at multiple scales along an urban gradient. Biodiversity and Conservation, 27, 829-852.";"I agree to classify this as \"multiple\"";NA;NA
"49";"ta24";"luoto_butterflies";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"NO";"too large dataset";"terrestrial";"insect";"invertebrate";"varying";"multiple";"Sampling throughout Finland";"Google earth images and ref.";2002;2010;NA;"abundance";"Eskildsen, A., le Roux, P. C., Heikkinen, R. K., Høye, T. T., Kissling, W. D., Pöyry, J., ... & Luoto, M. (2013). Testing species distribution models across space and time: high latitude butterflies and recent warming. Global Ecology and Biogeography, 22(12), 1293-1303.";NA;NA;NA
"50";"b07";"meffert_birds";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"CESTES database";"YES";NA;"terrestrial";"bird";"vertebrate";"urban";"urban";"The coordinates of this datasets were wrong. However, I remember fixing them before, but apparently this was not incorporated to the original dataset. I have done it now. Anyways, some of the samples are in grasslands, check the attached figure. I keep it as urban because it is mostly within an urban environment anyway. You can decide if we move to multiple. This is how the authors describe their data:All 54 study sites were located in the urban area of Berlin (52°30′2″ N 13°23′56″ E), with 3.4 million inhabitants and 892 km² it is the largest city of Germany (Amt für Statistik Berlin-Brandenburg 2010). Wastelands were located by asking at the municipality and scanning aerial photographs (Senate Department for Urban Development 2005). The study sites were spread over the whole urban area with some more sites located in the eastern part of the city and in the city centre due to historical reasons. Since Berlin emerged from several towns and villages it is until now very diverse and has several centres. The sites had various former uses, such as switching yard stations, industrial plants, or buildings that had been demolished. All sites were dominated by sparse vegetation with no or few trees and shrubs.";"Google earth images and ref.";2007;2007;NA;"abundance";"Meffert, P. J., & Dziock, F. (2013). The influence of urbanisation on diversity and trait composition of birds. Landscape Ecology, 28, 943-957.";"I agree to classify this as \"urban\"";NA;NA
"51";"pp08";"N21FBD_2";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"microorganism";"microorganism";"varying";"multiple";"Sites within urban areas, but also forests and grasslands. We sampled a total of 53 sites from order 2–4 streams during March and April 2013 (Fig. 1). All sites sampled are located in the tributary streams of the upper Mekong River Basin (Fig. 1). We used objective criteria and best professional judgment to select the least disturbed sites as reference sites (as done by Hughes et al., 1986, Stoddard et al., 2006, Whittier et al., 2007). We identified reference streams as those that had no mining activities, > 85% forest land, and < 2% urban land in their catchments (Wang et al., 2012). We identified a total of 18 reference sites (RS), and the remaining 35 sites that did not meet reference criteria were classified as disturbed sites (DS).";"Google earth images and ref.";2013;2013;NA;"abundance";"Ding, N., Yang, W., Zhou, Y., González-Bergonzoni, I., Zhang, J., Chen, K., ... & Wang, B. (2017). Different responses of functional traits and diversity of stream macroinvertebrates to environmental and spatial factors in the Xishuangbanna watershed of the upper Mekong River Basin, China. Science of the Total Environment, 574, 288-299.";"Lets check again. But as they use only reference sites for a study in urban area, I would tend to classify as urban, lets discuss";"all";NA
"52";"ai06";"N21FMI";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"multiple";"Sites within urban areas, but also forests and grasslands. We sampled a total of 53 sites from order 2–4 streams during March and April 2013 (Fig. 1). All sites sampled are located in the tributary streams of the upper Mekong River Basin (Fig. 1). We used objective criteria and best professional judgment to select the least disturbed sites as reference sites (as done by Hughes et al., 1986, Stoddard et al., 2006, Whittier et al., 2007). We identified reference streams as those that had no mining activities, > 85% forest land, and < 2% urban land in their catchments (Wang et al., 2012). We identified a total of 18 reference sites (RS), and the remaining 35 sites that did not meet reference criteria were classified as disturbed sites (DS).";"Google earth images and ref.";2013;2013;NA;"abundance";"Ding, N., Yang, W., Zhou, Y., González-Bergonzoni, I., Zhang, J., Chen, K., ... & Wang, B. (2017). Different responses of functional traits and diversity of stream macroinvertebrates to environmental and spatial factors in the Xishuangbanna watershed of the upper Mekong River Basin, China. Science of the Total Environment, 574, 288-299.";"Lets check again. But as they use only reference sites for a study in urban area, I would tend to classify as urban, lets discuss";NA;NA
"53";"pp04";"N25FBD";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"microorganism";"microorganism";"varying";"multiple";"The Li River Basin (E 110°18′–111°18′; N 25°59′–23°23′) has an area of 6050 km2, and a total length of 229 km (Fig. 1). The Li River originates in the Mao’er Mountain (altitude 1732 m), and flows through Guilin, Yangshuo, and Pingle counties (Cao et al., 2009). The climate is subtropical monsoon (Tang, 2002), with average annual precipitation of 1627 mm and average annual temperature 18–19 °C. The upper basin is mostly naturally forested sandstone mountains; whereas the middle and lower basins are karst and mud-stone with mostly agricultural and urban land uses (Tang, 2002, Cai and Ma, 2008). The karst region, which is characterized by a number of tower karsts, is located in the middle segment of the basin. Stream substrates are mainly non-limestone rocks, sands and silts.";"Google earth images and ref.";2008;2008;NA;"abundance";"Chen, K., Hughes, R. M., Xu, S., Zhang, J., Cai, D., & Wang, B. (2014). Evaluating performance of macroinvertebrate-based adjusted and unadjusted multi-metric indices (MMI) using multi-season and multi-year samples. Ecological Indicators, 36, 142-151.";NA;NA;NA
"54";"ai07";"N25FMI";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"multiple";"The Li River Basin (E 110°18′–111°18′; N 25°59′–23°23′) has an area of 6050 km2, and a total length of 229 km (Fig. 1). The Li River originates in the Mao’er Mountain (altitude 1732 m), and flows through Guilin, Yangshuo, and Pingle counties (Cao et al., 2009). The climate is subtropical monsoon (Tang, 2002), with average annual precipitation of 1627 mm and average annual temperature 18–19 °C. The upper basin is mostly naturally forested sandstone mountains; whereas the middle and lower basins are karst and mud-stone with mostly agricultural and urban land uses (Tang, 2002, Cai and Ma, 2008). The karst region, which is characterized by a number of tower karsts, is located in the middle segment of the basin. Stream substrates are mainly non-limestone rocks, sands and silts.";"Google earth images and ref.";2008;2008;NA;"abundance";"Chen, K., Hughes, R. M., Xu, S., Zhang, J., Cai, D., & Wang, B. (2014). Evaluating performance of macroinvertebrate-based adjusted and unadjusted multi-metric indices (MMI) using multi-season and multi-year samples. Ecological Indicators, 36, 142-151.";NA;NA;NA
"55";"pp05";"N29FBD";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"microorganism";"microorganism";"varying";"multiple";"This study was carried out in the middle section of the Qiantang River basin, the largest river of Zhejiang Province, China (Fig. 1). The Qiantang River (http://www.zjwater.com) has a drainage area over 55,000 km2, with peak discharge periods in May through June and September, which matches the precipitation patterns of the region (Wang et al., 2012). Urban and agricultural land uses are the major catchment stressors in the study area (Wang et al., 2012). A total of ninety wadeable stream sites were selected based on accessibility, land-use gradient, and spatial distribution (Fig. 1). Of these, 22 sites were considered minimally impacted. The stream order of the sampling sites ranged from first to third, and catchment areas ranged between 1 and 70 km2.";"Google earth images and ref.";2010;2010;NA;"abundance";"Liu, S., Xie, G., Wang, L., Cottenie, K., Liu, D., & Wang, B. (2016). Different roles of environmental variables and spatial factors in structuring stream benthic diatom and macroinvertebrate in Yangtze River Delta, China. Ecological indicators, 61, 602-611.";NA;NA;NA
"56";"ai08";"N29FMI";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"multiple";"This study was carried out in the middle section of the Qiantang River basin, the largest river of Zhejiang Province, China (Fig. 1). The Qiantang River (http://www.zjwater.com) has a drainage area over 55,000 km2, with peak discharge periods in May through June and September, which matches the precipitation patterns of the region (Wang et al., 2012). Urban and agricultural land uses are the major catchment stressors in the study area (Wang et al., 2012). A total of ninety wadeable stream sites were selected based on accessibility, land-use gradient, and spatial distribution (Fig. 1). Of these, 22 sites were considered minimally impacted. The stream order of the sampling sites ranged from first to third, and catchment areas ranged between 1 and 70 km2.";"Google earth images and ref.";2010;2010;NA;"abundance";"Liu, S., Xie, G., Wang, L., Cottenie, K., Liu, D., & Wang, B. (2016). Different roles of environmental variables and spatial factors in structuring stream benthic diatom and macroinvertebrate in Yangtze River Delta, China. Ecological indicators, 61, 602-611.";NA;NA;NA
"57";"pp06";"N34FBD";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"microorganism";"microorganism";"varying";"multiple";"We sampled 48 sites in the tributaries in the southern Wei River watershed (Fig. 1) in June 2013. We used a randomized spatially balanced probabilistic survey design to select all sites to ensure representativeness of the natural, agricultural, and urban land use gradients (Stevens Jr and Olsen 2004; Olsen and Peck 2008). According to the ecological regionalization scheme in China (Fu et al. 2001), our research region can be categorized into the evergreen-deciduous forest (mountain) ecoregion and the water loss sensitive Loess Plateau (lowland) ecoregion. A total of 25 sampling sites were distributed in the mountain ecoregion, and 23 sites were distributed in the lowland ecoregion (Fig. 1).";"Google earth images and ref.";2013;2013;NA;"abundance";"Yang, W., You, Q., Fang, N., Xu, L., Zhou, Y., Wu, N., ... & Wang, Y. (2018). Assessment of wetland health status of Poyang Lake using vegetation-based indices of biotic integrity. Ecological Indicators, 90, 79-89.";NA;NA;NA
"58";"ai09";"N34FMI";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"multiple";"We sampled 48 sites in the tributaries in the southern Wei River watershed (Fig. 1) in June 2013. We used a randomized spatially balanced probabilistic survey design to select all sites to ensure representativeness of the natural, agricultural, and urban land use gradients (Stevens Jr and Olsen 2004; Olsen and Peck 2008). According to the ecological regionalization scheme in China (Fu et al. 2001), our research region can be categorized into the evergreen-deciduous forest (mountain) ecoregion and the water loss sensitive Loess Plateau (lowland) ecoregion. A total of 25 sampling sites were distributed in the mountain ecoregion, and 23 sites were distributed in the lowland ecoregion (Fig. 1).";"Google earth images and ref.";2013;2013;NA;"abundance";"Yang, W., You, Q., Fang, N., Xu, L., Zhou, Y., Wu, N., ... & Wang, Y. (2018). Assessment of wetland health status of Poyang Lake using vegetation-based indices of biotic integrity. Ecological Indicators, 90, 79-89.";NA;NA;NA
"59";"tp05";"N38TTP";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"agriculture";"We used plot data from the collaborative vegetation-plot database GrassPlot (Dengler et al., 2018; http://b.link/grassplot), which is registered in the Global Index of Vegetation-Plot Databases (GIVD; Dengler et al., 2011) as EU-00-003. GrassPlot collects vegetation-plot data (both richness and composition) together with methodological, environmental and structural information from grasslands as well as other plant communities dominated by herbs, dwarf-shrubs or cryptogams from the Palaearctic biogeographic realm (for delimitation see Figure S1.1). Requirements for inclusion are that the plots (sampling units) were precisely delimited in the field and carefully sampled with the aim of achieving complete species lists. One strength of GrassPlot is the numerous multi-scale datasets derived from a diversity of nested-plot sampling schemes (e.g. Dengler et al., 2016) of areas from 1 cm2 to 1,024 m2 (schemes of the three main types of sampling designs in Figure S2.1).";"Google earth images and ref.";2012;2012;NA;"abundance";"Dengler, J., Matthews, T. J., Steinbauer, M. J., Wolfrum, S., Boch, S., Chiarucci, A., ... & Biurrun, I. (2020). Species–area relationships in continuous vegetation: Evidence from Palaearctic grasslands. Journal of Biogeography, 47(1), 72-86.";"not sure, based on the description";NA;NA
"60";"ai10";"N39FMI";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"multiple";"A total of 95 sites (Fig. 1) which span the entire spectrum of lentic habitats in the region have been sampled, with the exception of reservoirs and coastal salt-pans. Sampling sites were assigned to eight different habitat types on the basis of physicochemistry, origin and hydrology, partly following the classifications of Millán et al. (2002) and Abellán et al. (2005a). These were artificial pools (for irrigation and livestock watering), karstic lagoons (mostly associated with continuous underground drainage systems), endorheic lagoons and ponds, natural pools (associated with small and continuous superficial drainage systems), continental salt-pans, rice fields, coastal rock-pools and coastal wetlands.";"Google earth images and ref.";2002;2004;"1999";"abundance";"Picazo, F., Bilton, D. T., MORENO, J. L., SÁNCHEZ‐FERNÁNDEZ, D. A. V. I. D., & Millan, A. (2012). Water beetle biodiversity in Mediterranean standing waters: assemblage composition, environmental drivers and nestedness patterns. Insect Conservation and Diversity, 5(2), 146-158.";"not entirely sure. Could be all in agricultural landscapes";"all";NA
"61";"ai11";"N39FMI_2";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"multiple";"As in other mediterranean climate regions, the basins have been greatly affected by human activity (Trabaud, 1981), such as agriculture, cattle farming, urbanization, salinization, water utilization and regulation (Conacher & Sala, 1998). All these factors have negatively affected the rivers, either directly or indirectly (Prat & Ward, 1994).";"Google earth images and ref.";2002;2004;"1999";"abundance";"Bonada, N., Zamora-Muñoz, C., Rieradevall, M., & Prat, N. (2004). Trichoptera (Insecta) collected in Mediterranean river basins of the Iberian Peninsula: taxonomic remarks and notes on ecology. Graellsia, 60(1), 41-69.";NA;NA;NA
"62";NA;"N39TTP";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"agriculture";"agriculture";"We used plot data from the collaborative vegetation-plot database GrassPlot (Dengler et al., 2018; http://b.link/grassplot), which is registered in the Global Index of Vegetation-Plot Databases (GIVD; Dengler et al., 2011) as EU-00-003. GrassPlot collects vegetation-plot data (both richness and composition) together with methodological, environmental and structural information from grasslands as well as other plant communities dominated by herbs, dwarf-shrubs or cryptogams from the Palaearctic biogeographic realm (for delimitation see Figure S1.1). Requirements for inclusion are that the plots (sampling units) were precisely delimited in the field and carefully sampled with the aim of achieving complete species lists. One strength of GrassPlot is the numerous multi-scale datasets derived from a diversity of nested-plot sampling schemes (e.g. Dengler et al., 2016) of areas from 1 cm2 to 1,024 m2 (schemes of the three main types of sampling designs in Figure S2.1).";"Google earth images and ref.";2009;2013;NA;"abundance";"Dengler, J., Matthews, T. J., Steinbauer, M. J., Wolfrum, S., Boch, S., Chiarucci, A., ... & Biurrun, I. (2020). Species–area relationships in continuous vegetation: Evidence from Palaearctic grasslands. Journal of Biogeography, 47(1), 72-86.";"not sure, based on the description";NA;NA
"63";"ai12";"N40FMI";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"aquatic";"waterinsect";"invertebrate";"varying";"multiple";"Sites across forested areas, grassands, some near cities but no urban sites";"Google earth images";2002;2013;"1840-2013";"abundance";"Unpublished";NA;NA;NA
"64";"tp06";"N41TTP";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"agriculture";"We used plot data from the collaborative vegetation-plot database GrassPlot (Dengler et al., 2018; http://b.link/grassplot), which is registered in the Global Index of Vegetation-Plot Databases (GIVD; Dengler et al., 2011) as EU-00-003. GrassPlot collects vegetation-plot data (both richness and composition) together with methodological, environmental and structural information from grasslands as well as other plant communities dominated by herbs, dwarf-shrubs or cryptogams from the Palaearctic biogeographic realm (for delimitation see Figure S1.1). Requirements for inclusion are that the plots (sampling units) were precisely delimited in the field and carefully sampled with the aim of achieving complete species lists. One strength of GrassPlot is the numerous multi-scale datasets derived from a diversity of nested-plot sampling schemes (e.g. Dengler et al., 2016) of areas from 1 cm2 to 1,024 m2 (schemes of the three main types of sampling designs in Figure S2.1).";"Google earth images and ref";2012;2012;NA;"abundance";"Dengler, J., Matthews, T. J., Steinbauer, M. J., Wolfrum, S., Boch, S., Chiarucci, A., ... & Biurrun, I. (2020). Species–area relationships in continuous vegetation: Evidence from Palaearctic grasslands. Journal of Biogeography, 47(1), 72-86.";"not sure, based on the description";NA;NA
"65";"tp13";"N42TTP";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"multiple";"The area is characterized by a mediterranean climate (Blasi 2003) and recent dunes (Holocene) generally occupy a narrow strip along the seashore. They are not very high (usually less than 8–10 m) and are relatively simple in structure, with beaches varying in breadth from a few meters to around 40 m, low embryo dunes, generally only one mobile dune ridge, dune slacks and stabilized dunes. The compressed vegetation zonation follows the sea–inland environmental gradient; from annual communities on the upper beach to woody communities on the inland fixed dunes (Mediterranean macchia and evergreen forests) (Acosta et al. 2000; Stanisci et al. 2004). Most of the study area is also characterized by considerable tourist exploitation and suburbanization, with the presence of numerous summer residences.";"Google earth images and ref";2004;2008;NA;"abundance";"Carboni, M., Santoro, R., & Acosta, A. T. (2011). Dealing with scarce data to understand how environmental gradients and propagule pressure shape fine‐scale alien distribution patterns on coastal dunes. Journal of Vegetation Science, 22(5), 751-765.";"lets check on google Earth. It seems to have a srtrong urban character, but we may classify as multiple, lets discuss";"ALL";NA
"66";"tp07";"N42TTP_2";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"multiple";"The authors defined this dataset as Quercus suber forest, but some sites are forest fragments within a city. I wonder if this should be classified as forestry or varying";"Google earth images and ref.";2007;2008;NA;"abundance";NA;"If the authors studied urban and \"natural\" forests its \"multiple\" as they cover forests in urban and rural landscapes and thus \"forestry\" and \"urban\". Woudl be the categrry forest-urban land use";"forest+urban";NA
"67";"tp08";"N42TTP_3";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"agriculture";"We used plot data from the collaborative vegetation-plot database GrassPlot (Dengler et al., 2018; http://b.link/grassplot), which is registered in the Global Index of Vegetation-Plot Databases (GIVD; Dengler et al., 2011) as EU-00-003. GrassPlot collects vegetation-plot data (both richness and composition) together with methodological, environmental and structural information from grasslands as well as other plant communities dominated by herbs, dwarf-shrubs or cryptogams from the Palaearctic biogeographic realm (for delimitation see Figure S1.1). Requirements for inclusion are that the plots (sampling units) were precisely delimited in the field and carefully sampled with the aim of achieving complete species lists. One strength of GrassPlot is the numerous multi-scale datasets derived from a diversity of nested-plot sampling schemes (e.g. Dengler et al., 2016) of areas from 1 cm2 to 1,024 m2 (schemes of the three main types of sampling designs in Figure S2.1).";"Google earth images and ref";2012;2012;NA;"abundance";"Dengler, J., Matthews, T. J., Steinbauer, M. J., Wolfrum, S., Boch, S., Chiarucci, A., ... & Biurrun, I. (2020). Species–area relationships in continuous vegetation: Evidence from Palaearctic grasslands. Journal of Biogeography, 47(1), 72-86.";"not sure, based on the description";NA;NA
"68";"tp16";"N43TTP_1";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"agriculture";"Dune vegetation. Basically all the samples are across beaches. I am not sure how I should classify this dataset. Maybe you can help. This dataset is from sPlot but was not published individually with description of study area.";"Google earth images";2014;2015;NA;"abundance";"Torca, M., Campos, J. A., & Herrera, M. (2019). Species composition and plant traits of south Atlantic European coastal dunes and other comparative data. Data in Brief, 22, 207-213.";"Tricky. Ist a bit of a seperate category. I would say it use of open hbitats which are not used by agriczlture. I would describe it in the methods and say that these other uses were merged with agriculture due to low number of replicates";NA;NA
"69";"tp09";"N43TTP_2";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"forest";"The dataset includes original data recently collected at several sites along the Italian Peninsula, basically covering the whole distribution of Stone pine in Italy (excluding islands). At all sites, Pinus pinea was planted approximately 100 years ago. The peculiarity of the data is the semi-natural character of these forests and the vegetation therein.";"Google earth images and ref";2008;2009;NA;"abundance";NA;"I agree with the classification in \"forestry\"";NA;NA
"70";"tp17";"N43TTP_3";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"plant";"plant";"varying";"agriculture";"We used plot data from the collaborative vegetation-plot database GrassPlot (Dengler et al., 2018; http://b.link/grassplot), which is registered in the Global Index of Vegetation-Plot Databases (GIVD; Dengler et al., 2011) as EU-00-003. GrassPlot collects vegetation-plot data (both richness and composition) together with methodological, environmental and structural information from grasslands as well as other plant communities dominated by herbs, dwarf-shrubs or cryptogams from the Palaearctic biogeographic realm (for delimitation see Figure S1.1). Requirements for inclusion are that the plots (sampling units) were precisely delimited in the field and carefully sampled with the aim of achieving complete species lists. One strength of GrassPlot is the numerous multi-scale datasets derived from a diversity of nested-plot sampling schemes (e.g. Dengler et al., 2016) of areas from 1 cm2 to 1,024 m2 (schemes of the three main types of sampling designs in Figure S2.1).";"Google earth images and ref";2014;2014;NA;"abundance";"Dengler, J., Matthews, T. J., Steinbauer, M. J., Wolfrum, S., Boch, S., Chiarucci, A., ... & Biurrun, I. (2020). Species–area relationships in continuous vegetation: Evidence from Palaearctic grasslands. Journal of Biogeography, 47(1), 72-86.";"not sure, based on the description";NA;NA
